Environment,Fit time,Perfect score,Average error,Missing edges,Average stop (perfect),Average stop imperfect
4 rooms,1,44/50,0.07,1.33,890,689
4 rooms,2,43/50,0.37,7.03,969,377
4 rooms,5,36/50,0.46,8.74,1002,334
4 rooms,10,35/50,0.39,7.41,1004,446
4 rooms,20,36/50,0.49,6.46,972,264
4 rooms,50,32/50,0.38,7.22,1079,392
4 rooms,100,29/50,0.27,5.13,1117,576
4 rooms,200,27/50,0.25,4.75,1198,703
4 rooms,500,34/50,0.17,3.23,1811,1319
4 rooms,1000,38/50,0.12,2.28,2711,2058
4 rooms,2000,43/50,0.08,1.52,4331,3562
