,waypoint,type,room
0,24,2,2
1,24,2,2
2,24,2,2
3,24,2,2
4,24,2,2
5,24,2,2
6,24,2,2
7,24,2,2
8,24,2,2
9,24,2,2
10,24,2,2
11,24,2,2
12,24,2,2
13,24,2,2
14,24,2,2
15,24,2,2
16,24,2,2
17,24,2,2
18,24,2,2
19,24,2,2
20,24,2,2
21,24,2,2
22,24,2,2
23,24,2,2
24,24,2,2
25,24,2,2
26,24,2,2
27,24,2,2
28,24,2,2
29,24,2,2
30,24,2,2
31,24,2,2
32,24,2,2
33,24,2,2
34,24,2,2
35,24,2,2
36,24,2,2
37,24,2,2
38,24,2,2
39,24,2,2
40,24,2,2
41,24,2,2
42,24,2,2
43,24,2,2
44,24,2,2
45,24,2,2
46,24,2,2
47,24,2,2
48,24,2,2
49,24,2,2
50,24,2,2
51,24,2,2
52,24,2,2
53,24,2,2
54,24,2,2
55,24,2,2
56,24,2,2
57,24,2,2
58,24,2,2
59,24,2,2
60,24,2,2
61,24,2,2
62,24,2,2
63,24,2,2
64,24,2,2
65,24,2,2
66,24,2,2
67,24,2,2
68,24,2,2
69,24,2,2
70,24,2,2
71,24,2,2
72,24,2,2
73,24,2,2
74,24,2,2
75,24,2,2
76,24,2,2
77,24,2,2
78,24,2,2
79,24,2,2
80,24,2,2
81,24,2,2
82,24,2,2
83,24,2,2
84,24,2,2
85,24,2,2
86,24,2,2
87,24,2,2
88,24,2,2
89,24,2,2
90,24,2,2
91,24,2,2
92,24,2,2
93,24,2,2
94,24,2,2
95,24,2,2
96,24,2,2
97,24,2,2
98,24,2,2
99,24,2,2
