,action,s0,s1,s2,s3,s4,l0,l1,l2,l3,l4
0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
9,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
10,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
11,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
15,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
16,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
17,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
18,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
19,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
20,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
21,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
22,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
24,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
27,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
