,waypoint,type,room
0,4,0,0
1,0,2,0
2,1,2,0
3,2,2,0
4,3,1,0
5,5,2,0
6,6,2,0
7,7,0,0
8,8,2,0
9,0,2,0
10,6,2,0
11,4,0,0
12,20,0,2
13,18,2,2
14,19,2,2
15,21,1,2
16,22,2,2
17,23,2,2
18,24,2,2
19,25,0,2
20,26,2,2
21,19,2,2
22,26,2,2
23,20,0,2
24,4,0,0
25,0,2,0
26,1,2,0
27,2,2,0
28,3,1,0
29,5,2,0
30,6,2,0
31,7,0,0
32,8,2,0
33,7,0,0
34,10,0,1
35,9,2,1
36,11,2,1
37,12,1,1
38,13,0,1
39,14,2,1
40,15,2,1
41,16,2,1
42,17,2,1
43,12,1,1
44,14,2,1
45,10,0,1
46,7,0,0
47,0,2,0
48,1,2,0
49,2,2,0
50,3,1,0
51,4,0,0
52,5,2,0
53,6,2,0
54,8,2,0
55,7,0,0
56,10,0,1
57,9,2,1
58,11,2,1
59,12,1,1
60,13,0,1
61,14,2,1
62,15,2,1
63,16,2,1
64,17,2,1
65,16,2,1
66,10,0,1
67,7,0,0
68,0,2,0
69,1,2,0
70,2,2,0
71,3,1,0
72,4,0,0
73,5,2,0
74,6,2,0
75,8,2,0
76,2,2,0
77,4,0,0
78,7,0,0
79,0,2,0
80,1,2,0
81,4,0,0
82,3,1,0
83,7,0,0
84,5,2,0
85,6,2,0
86,8,2,0
87,2,2,0
88,0,2,0
89,2,2,0
90,6,2,0
91,1,2,0
92,4,0,0
93,3,1,0
94,7,0,0
95,5,2,0
96,3,1,0
97,8,2,0
98,2,2,0
99,0,2,0
