,waypoint_from,waypoint_to,room_from,room_to,type_from,type_to,changed_rooms
0,34,27,3,3,2,2,1
1,27,28,3,3,2,0,1
2,28,25,3,2,0,0,1
3,25,18,2,2,0,2,1
4,18,19,2,2,2,2,1
5,19,20,2,2,2,0,1
6,20,4,2,0,0,0,1
7,4,0,0,0,0,2,1
8,0,1,0,0,2,2,1
9,1,2,0,0,2,2,1
10,2,3,0,0,2,1,1
11,3,5,0,0,1,2,1
12,5,6,0,0,2,2,1
13,6,7,0,0,2,0,1
14,7,8,0,0,0,2,1
15,8,6,0,0,2,2,1
16,6,5,0,0,2,2,1
17,5,4,0,0,2,0,1
18,4,0,0,0,0,2,1
19,0,1,0,0,2,2,1
20,1,2,0,0,2,2,1
21,2,3,0,0,2,1,1
22,3,5,0,0,1,2,1
23,5,2,0,0,2,2,1
24,2,7,0,0,2,0,1
25,7,8,0,0,0,2,1
26,8,6,0,0,2,2,1
27,6,1,0,0,2,2,1
28,1,4,0,0,2,0,1
29,4,0,0,0,0,2,1
30,0,6,0,0,2,2,1
31,6,5,0,0,2,2,1
32,5,3,0,0,2,1,1
33,3,8,0,0,1,2,1
34,8,2,0,0,2,2,1
35,2,7,0,0,2,0,1
36,7,10,0,1,0,0,1
37,10,9,1,1,0,2,1
38,9,11,1,1,2,2,1
39,11,12,1,1,2,1,1
40,12,13,1,1,1,0,1
41,13,14,1,1,0,2,1
42,14,15,1,1,2,2,1
43,15,16,1,1,2,2,1
44,16,17,1,1,2,2,1
45,17,13,1,1,2,0,1
46,13,29,1,3,0,0,1
47,29,27,3,3,0,2,1
48,27,28,3,3,2,0,1
49,28,25,3,2,0,0,1
50,25,18,2,2,0,2,1
51,18,19,2,2,2,2,1
52,19,20,2,2,2,0,1
53,20,4,2,0,0,0,1
54,4,0,0,0,0,2,1
55,0,1,0,0,2,2,1
56,1,2,0,0,2,2,1
57,2,3,0,0,2,1,1
58,3,5,0,0,1,2,1
59,5,6,0,0,2,2,1
60,6,7,0,0,2,0,1
61,7,8,0,0,0,2,1
62,8,7,0,0,2,0,1
63,7,10,0,1,0,0,1
64,10,9,1,1,0,2,1
65,9,11,1,1,2,2,1
66,11,12,1,1,2,1,1
67,12,13,1,1,1,0,1
68,13,14,1,1,0,2,1
69,14,15,1,1,2,2,1
70,15,16,1,1,2,2,1
71,16,17,1,1,2,2,1
72,17,11,1,1,2,2,1
73,11,13,1,1,2,0,1
74,13,10,1,1,0,0,1
75,10,7,1,0,0,0,1
76,7,0,0,0,0,2,1
77,0,1,0,0,2,2,1
78,1,2,0,0,2,2,1
79,2,3,0,0,2,1,1
80,3,4,0,0,1,0,1
81,4,5,0,0,0,2,1
82,5,6,0,0,2,2,1
83,6,8,0,0,2,2,1
84,8,7,0,0,2,0,1
85,7,10,0,1,0,0,1
86,10,9,1,1,0,2,1
87,9,11,1,1,2,2,1
88,11,12,1,1,2,1,1
89,12,13,1,1,1,0,1
90,13,14,1,1,0,2,1
91,14,15,1,1,2,2,1
92,15,16,1,1,2,2,1
93,16,17,1,1,2,2,1
94,17,14,1,1,2,2,1
95,14,10,1,1,2,0,1
96,10,7,1,0,0,0,1
97,7,0,0,0,0,2,1
98,0,1,0,0,2,2,1
