,room0,room1,type0,type1,changed
0,b,b,wall,door,False
1,b,b,door,wall,False
2,b,b,wall,wall,False
3,b,b,wall,wall,False
4,b,b,wall,door,False
5,b,b,door,wall,False
6,b,b,wall,wall,False
7,b,b,wall,wall,False
8,b,b,wall,wall,False
9,b,b,wall,wall,False
10,b,b,wall,door,False
11,b,d,door,door,True
12,d,d,door,wall,False
13,d,d,wall,table,False
14,d,d,table,wall,False
15,d,d,wall,wall,False
16,d,d,wall,wall,False
17,d,d,wall,wall,False
18,d,d,wall,door,False
19,d,d,door,door,False
20,d,c,door,door,True
21,c,c,door,wall,False
22,c,c,wall,wall,False
23,c,c,wall,wall,False
24,c,c,wall,wall,False
25,c,c,wall,table,False
26,c,c,table,wall,False
27,c,c,wall,wall,False
28,c,c,wall,wall,False
29,c,c,wall,door,False
30,c,c,door,door,False
31,c,d,door,door,True
32,d,d,door,wall,False
33,d,d,wall,table,False
34,d,d,table,wall,False
35,d,d,wall,wall,False
36,d,d,wall,wall,False
37,d,d,wall,door,False
38,d,d,door,wall,False
39,d,d,wall,table,False
40,d,d,table,wall,False
41,d,d,wall,table,False
42,d,d,table,wall,False
43,d,d,wall,table,False
44,d,d,table,wall,False
45,d,d,wall,wall,False
46,d,d,wall,wall,False
47,d,d,wall,door,False
48,d,b,door,door,True
49,b,b,door,wall,False
50,b,b,wall,wall,False
51,b,b,wall,wall,False
52,b,b,wall,table,False
53,b,b,table,wall,False
54,b,b,wall,table,False
55,b,b,table,wall,False
56,b,b,wall,wall,False
57,b,b,wall,door,False
58,b,b,door,wall,False
59,b,b,wall,wall,False
60,b,b,wall,wall,False
61,b,b,wall,table,False
62,b,b,table,door,False
63,b,b,door,wall,False
64,b,b,wall,wall,False
65,b,b,wall,wall,False
66,b,b,wall,wall,False
67,b,b,wall,wall,False
68,b,b,wall,table,False
69,b,b,table,wall,False
70,b,b,wall,wall,False
71,b,b,wall,door,False
72,b,b,door,wall,False
73,b,b,wall,wall,False
74,b,b,wall,table,False
75,b,b,table,wall,False
76,b,b,wall,table,False
77,b,b,table,wall,False
78,b,b,wall,door,False
79,b,b,door,door,False
80,b,b,door,wall,False
81,b,b,wall,wall,False
82,b,b,wall,wall,False
83,b,b,wall,door,False
84,b,b,door,table,False
85,b,b,table,wall,False
86,b,b,wall,table,False
87,b,b,table,wall,False
88,b,b,wall,table,False
89,b,b,table,door,False
90,b,a,door,door,True
91,a,a,door,wall,False
92,a,a,wall,door,False
93,a,a,door,wall,False
94,a,a,wall,table,False
95,a,a,table,wall,False
96,a,a,wall,table,False
97,a,a,table,door,False
98,a,a,door,wall,False
99,a,a,wall,table,False
100,a,a,table,wall,False
101,a,a,wall,wall,False
102,a,a,wall,wall,False
103,a,a,wall,table,False
104,a,a,table,wall,False
105,a,a,wall,wall,False
106,a,a,wall,wall,False
107,a,a,wall,wall,False
108,a,a,wall,wall,False
109,a,a,wall,wall,False
110,a,a,wall,wall,False
111,a,a,wall,wall,False
112,a,a,wall,wall,False
113,a,a,wall,wall,False
114,a,a,wall,door,False
115,a,a,door,wall,False
116,a,a,wall,table,False
117,a,a,table,wall,False
118,a,a,wall,door,False
119,a,a,door,wall,False
120,a,a,wall,table,False
121,a,a,table,wall,False
