,waypoint,type,room
0,1,2,0
1,2,2,0
2,3,1,0
3,4,0,0
4,5,2,0
5,6,2,0
6,7,0,0
7,8,2,0
8,1,2,0
9,7,0,0
10,0,2,0
11,4,0,0
12,2,2,0
13,3,1,0
14,2,2,0
15,5,2,0
16,6,2,0
17,2,2,0
18,8,2,0
19,1,2,0
20,7,0,0
21,0,2,0
22,4,0,0
23,20,0,2
24,18,2,2
25,19,2,2
26,21,1,2
27,22,2,2
28,23,2,2
29,24,2,2
30,25,0,2
31,26,2,2
32,20,0,2
33,4,0,0
34,0,2,0
35,1,2,0
36,2,2,0
37,3,1,0
38,5,2,0
39,6,2,0
40,7,0,0
41,8,2,0
42,3,1,0
43,7,0,0
44,4,0,0
45,0,2,0
46,1,2,0
47,2,2,0
48,6,2,0
49,5,2,0
50,4,0,0
51,20,0,2
52,18,2,2
53,19,2,2
54,21,1,2
55,22,2,2
56,23,2,2
57,24,2,2
58,25,0,2
59,26,2,2
60,20,0,2
61,4,0,0
62,0,2,0
63,1,2,0
64,2,2,0
65,3,1,0
66,5,2,0
67,6,2,0
68,7,0,0
69,8,2,0
70,2,2,0
71,7,0,0
72,4,0,0
73,0,2,0
74,1,2,0
75,8,2,0
76,3,1,0
77,5,2,0
78,6,2,0
79,5,2,0
80,4,0,0
81,2,2,0
82,7,0,0
83,10,0,1
84,9,2,1
85,11,2,1
86,12,1,1
87,13,0,1
88,14,2,1
89,15,2,1
90,16,2,1
91,17,2,1
92,16,2,1
93,9,2,1
94,10,0,1
95,7,0,0
96,0,2,0
97,1,2,0
98,2,2,0
99,3,1,0
